
[STANDBY-SENTRY] 17:13:59 | Intent: ACTIVE | Load Delta: 0.01
[STANDBY-SENTRY] 17:14:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 17:15:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 17:16:59 | Intent: ACTIVE | Load Delta: 0.14
[STANDBY-SENTRY] 17:17:59 | Intent: ACTIVE | Load Delta: 0.13
[STANDBY-SENTRY] 17:18:59 | Intent: ACTIVE | Load Delta: 0.09
[STANDBY-SENTRY] 17:19:59 | Intent: ACTIVE | Load Delta: 0.03
[STANDBY-SENTRY] 17:20:59 | Intent: ACTIVE | Load Delta: 0.08
[STANDBY-SENTRY] 17:21:59 | Intent: ACTIVE | Load Delta: 0.06
[STANDBY-SENTRY] 17:22:59 | Intent: ACTIVE | Load Delta: 0.02
[STANDBY-SENTRY] 17:23:59 | Intent: ACTIVE | Load Delta: 0.01
[STANDBY-SENTRY] 17:24:59 | Intent: ACTIVE | Load Delta: 0.03
[STANDBY-SENTRY] 17:25:59 | Intent: ACTIVE | Load Delta: 0.06
[STANDBY-SENTRY] 17:26:59 | Intent: ACTIVE | Load Delta: 0.02
[STANDBY-SENTRY] 17:27:59 | Intent: ACTIVE | Load Delta: 0.01
[STANDBY-SENTRY] 17:28:59 | Intent: ACTIVE | Load Delta: 0.16
[STANDBY-SENTRY] 17:29:59 | Intent: ACTIVE | Load Delta: 0.10
[STANDBY-SENTRY] 17:30:59 | Intent: ACTIVE | Load Delta: 0.45
[STANDBY-SENTRY] 17:31:59 | Intent: ACTIVE | Load Delta: 0.17
[STANDBY-SENTRY] 17:32:59 | Intent: ACTIVE | Load Delta: 0.06
[STANDBY-SENTRY] 17:33:59 | Intent: ACTIVE | Load Delta: 0.02
[STANDBY-SENTRY] 17:34:59 | Intent: ACTIVE | Load Delta: 0.01
[STANDBY-SENTRY] 17:35:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 17:36:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 17:37:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 17:38:59 | Intent: ACTIVE | Load Delta: 0.07
[STANDBY-SENTRY] 17:39:59 | Intent: ACTIVE | Load Delta: 0.02
[STANDBY-SENTRY] 17:40:59 | Intent: ACTIVE | Load Delta: 0.05
[STANDBY-SENTRY] 17:41:59 | Intent: ACTIVE | Load Delta: 0.21
[STANDBY-SENTRY] 17:42:59 | Intent: ACTIVE | Load Delta: 0.53
[STANDBY-SENTRY] 17:43:59 | Intent: ACTIVE | Load Delta: 0.54
[STANDBY-SENTRY] 17:44:59 | Intent: ACTIVE | Load Delta: 0.94
[STANDBY-SENTRY] 17:45:59 | Intent: ACTIVE | Load Delta: 2.27
[STANDBY-SENTRY] 17:46:59 | Intent: ACTIVE | Load Delta: 1.02
[STANDBY-SENTRY] 17:47:59 | Intent: ACTIVE | Load Delta: 0.37
[STANDBY-SENTRY] 17:48:59 | Intent: ACTIVE | Load Delta: 0.27
[STANDBY-SENTRY] 17:49:59 | Intent: ACTIVE | Load Delta: 0.13
[STANDBY-SENTRY] 17:50:59 | Intent: ACTIVE | Load Delta: 0.12
[STANDBY-SENTRY] 17:51:59 | Intent: ACTIVE | Load Delta: 0.09
[STANDBY-SENTRY] 17:52:59 | Intent: ACTIVE | Load Delta: 0.03
[STANDBY-SENTRY] 17:53:59 | Intent: ACTIVE | Load Delta: 0.08
[STANDBY-SENTRY] 17:54:59 | Intent: ACTIVE | Load Delta: 0.06
